# --- Points ---
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 -5453 100000
E -5453 100000 111 2154
E -639 -100000 333 -3269
E -632 237 0 195
E -632 237 36 258
E -334 410 -277 419
E -334 410 -125 373
E -277 419 -240 428
E -277 419 -6 418
E -240 428 29 523
E -240 428 44 477
E -125 373 -2 343
E -125 373 44 381
E -116 106 -113 105
E -116 106 30 161
E -113 105 -112 105
E -113 105 29 121
E -112 105 31 43
E -112 105 42 85
E -14 555 5 567
E -14 555 18 544
E -6 418 25 427
E -6 418 42 393
E -2 343 10 346
E -2 343 36 302
E 0 195 15 198
E 0 195 20 175
E 5 567 20 570
E 5 567 23 622
E 10 346 51 371
E 10 346 59 332
E 15 198 20 175
E 15 198 51 210
E 18 544 20 570
E 18 544 32 532
E 20 570 27 579
E 20 175 30 161
E 23 637 23 622
E 23 637 53 569
E 23 622 27 579
E 25 427 44 477
E 25 427 50 422
E 27 579 42 561
E 29 121 43 139
E 29 121 54 98
E 29 523 32 532
E 29 523 49 479
E 30 161 39 163
E 31 43 48 49
E 32 532 39 538
E 36 302 36 258
E 36 302 59 332
E 36 258 47 253
E 39 163 43 159
E 39 163 51 210
E 39 538 42 561
E 39 538 66 538
E 42 561 53 569
E 42 85 48 49
E 42 85 54 98
E 42 393 44 381
E 42 393 54 414
E 43 159 44 146
E 43 159 82 156
E 43 139 44 146
E 43 139 64 102
E 44 381 51 371
E 44 477 49 479
E 44 146 81 120
E 47 253 57 238
E 47 253 92 299
E 48 49 66 42
E 49 479 63 476
E 50 422 54 414
E 50 422 69 463
E 51 371 75 359
E 51 210 55 217
E 53 569 75 572
E 54 414 100 400
E 54 98 64 102
E 55 217 57 238
E 55 217 96 174
E 57 238 112 235
E 59 332 76 342
E 63 476 69 463
E 63 476 81 493
E 64 102 65 102
E 65 102 81 120
E 65 102 95 66
E 66 42 95 66
E 66 42 97 -77
E 66 538 74 527
E 66 538 81 565
E 69 463 125 419
E 74 527 81 493
E 74 527 93 534
E 75 572 81 565
E 75 359 76 342
E 75 359 83 367
E 76 342 80 337
E 80 337 92 299
E 80 337 155 334
E 81 565 93 563
E 81 493 106 499
E 81 120 88 125
E 82 156 88 125
E 82 156 96 174
E 83 367 100 400
E 83 367 156 344
E 88 125 124 116
E 92 299 96 298
E 93 534 100 525
E 93 534 104 550
E 93 563 104 550
E 93 563 126 598
E 95 66 104 66
E 96 174 102 175
E 96 298 118 251
E 96 298 162 304
E 97 -77 121 -6
E 100 525 106 499
E 100 525 117 545
E 100 400 125 419
E 102 175 122 226
E 102 175 137 160
E 104 550 117 545
E 104 66 113 59
E 104 66 124 116
E 106 499 122 499
E 111 2154 126 1583
E 111 2154 215 1048
E 112 235 118 251
E 112 235 122 226
E 113 59 121 33
E 113 59 160 68
E 117 545 137 541
E 118 251 163 303
E 121 33 121 -6
E 121 33 167 50
E 121 -6 174 40
E 122 226 153 216
E 122 499 135 516
E 122 499 137 462
E 124 116 130 119
E 125 419 132 420
E 126 598 126 1583
E 126 598 136 575
E 126 1583 183 600
E 130 119 137 160
E 130 119 150 108
E 132 420 137 462
E 132 420 155 407
E 135 516 139 530
E 135 516 181 490
E 136 575 140 546
E 136 575 165 579
E 137 160 155 173
E 137 541 139 530
E 137 541 140 546
E 137 462 179 486
E 139 530 183 522
E 140 546 167 555
E 150 108 160 70
E 150 108 163 112
E 153 216 155 173
E 153 216 196 247
E 155 407 156 406
E 155 407 181 474
E 155 173 157 172
E 155 334 156 344
E 155 334 162 304
E 156 344 165 378
E 156 406 165 378
E 156 406 187 421
E 157 172 172 122
E 157 172 193 163
E 160 68 160 70
E 160 68 167 50
E 160 70 199 86
E 162 304 163 303
E 163 303 172 298
E 163 112 172 122
E 163 112 201 96
E 165 378 185 373
E 165 579 167 555
E 165 579 183 600
E 167 555 181 554
E 167 50 174 40
E 172 122 196 140
E 172 298 196 247
E 172 298 202 312
E 174 40 210 26
E 179 486 181 474
E 179 486 181 490
E 181 554 189 529
E 181 554 195 569
E 181 490 181 490
E 181 490 183 522
E 181 474 185 467
E 181 490 214 487
E 183 600 195 569
E 183 522 189 529
E 185 373 205 340
E 185 373 221 368
E 185 467 189 441
E 185 467 199 460
E 187 421 189 441
E 187 421 225 427
E 189 529 206 528
E 189 441 199 460
E 193 163 196 140
E 193 163 207 174
E 195 569 220 563
E 196 247 214 239
E 196 140 207 128
E 199 460 223 475
E 199 86 201 95
E 199 86 218 49
E 201 96 201 95
E 201 96 207 128
E 201 95 234 96
E 202 312 205 340
E 202 312 206 313
E 205 340 222 366
E 206 313 218 327
E 206 313 226 306
E 206 528 214 487
E 206 528 231 545
E 207 128 227 128
E 207 174 214 239
E 207 174 236 166
E 210 26 218 49
E 210 26 323 -239
E 214 239 247 242
E 214 487 216 486
E 215 1048 235 657
E 215 1048 285 601
E 216 486 223 475
E 216 486 242 519
E 218 49 255 80
E 218 327 228 359
E 218 327 269 330
E 220 563 231 545
E 220 563 234 595
E 221 368 222 366
E 221 368 238 399
E 222 366 228 359
E 223 475 238 461
E 225 427 237 444
E 225 427 238 399
E 226 306 247 242
E 226 306 276 310
E 227 128 232 125
E 227 128 236 166
E 228 359 266 345
E 231 545 231 545
E 231 545 242 519
E 231 545 265 557
E 232 125 234 96
E 232 125 255 129
E 234 595 235 657
E 234 595 258 574
E 234 96 255 80
E 235 657 264 586
E 236 166 254 169
E 237 444 238 461
E 237 444 263 435
E 238 461 245 466
E 238 399 280 387
E 242 519 244 518
E 244 518 252 500
E 244 518 268 519
E 245 466 252 500
E 245 466 282 478
E 247 242 269 242
E 252 500 269 497
E 254 169 266 155
E 254 169 271 239
E 255 80 260 80
E 255 129 266 155
E 255 129 272 99
E 258 574 264 586
E 258 574 265 557
E 260 80 272 99
E 260 80 274 61
E 263 435 280 397
E 263 435 294 443
E 264 586 281 587
E 265 557 281 554
E 266 155 309 150
E 266 345 269 330
E 266 345 275 362
E 268 519 269 497
E 268 519 288 532
E 269 330 276 310
E 269 497 282 478
E 269 242 271 239
E 269 242 284 300
E 271 239 276 237
E 272 99 277 101
E 274 61 311 76
E 274 61 337 -147
E 275 362 280 387
E 275 362 329 345
E 276 237 307 170
E 276 237 315 234
E 276 310 284 300
E 277 101 311 147
E 277 101 315 88
E 280 397 281 387
E 280 397 294 443
E 280 387 281 387
E 281 587 281 554
E 281 587 285 601
E 281 554 282 553
E 281 387 329 395
E 282 478 284 478
E 282 553 288 532
E 282 553 317 574
E 284 300 329 314
E 284 478 295 491
E 284 478 302 449
E 285 601 317 574
E 288 532 300 522
E 294 443 302 449
E 295 491 300 522
E 295 491 325 486
E 300 522 341 526
E 302 449 304 448
E 304 448 321 466
E 304 448 334 420
E 307 170 309 150
E 307 170 333 198
E 309 150 311 147
E 311 76 315 88
E 311 76 334 9
E 311 147 329 141
E 315 88 337 103
E 315 234 333 198
E 315 234 347 245
E 317 574 326 575
E 321 466 325 486
E 321 466 329 466
E 323 -239 333 -3269
E 323 -239 337 -147
E 325 486 334 491
E 326 575 354 551
E 326 575 459 2525
E 329 141 337 103
E 329 141 344 149
E 329 395 335 381
E 329 395 337 415
E 329 314 330 336
E 329 314 345 306
E 329 345 330 336
E 329 345 335 381
E 329 466 340 455
E 329 466 349 474
E 330 336 371 353
E 333 -3269 519 -29
E 333 198 346 192
E 334 420 337 415
E 334 420 340 455
E 334 491 341 524
E 334 491 349 474
E 334 9 344 -124
E 334 9 348 95
E 335 381 369 368
E 337 103 348 95
E 337 -147 344 -124
E 337 415 346 418
E 340 455 351 473
E 341 524 341 526
E 341 524 363 483
E 341 526 342 527
E 342 527 354 551
E 342 527 379 499
E 344 -124 367 -74
E 344 149 348 184
E 344 149 375 150
E 345 306 347 303
E 345 306 364 318
E 346 192 348 184
E 346 192 351 198
E 346 418 372 447
E 346 418 405 395
E 347 245 347 303
E 347 245 352 243
E 347 303 391 284
E 348 95 349 95
E 348 184 380 186
E 349 95 365 82
E 349 95 401 121
E 349 474 351 473
E 351 473 360 472
E 351 198 352 243
E 351 198 360 200
E 352 243 367 240
E 354 551 377 559
E 360 200 380 186
E 360 200 382 227
E 360 472 363 483
E 360 472 374 458
E 363 483 379 499
E 364 318 371 353
E 364 318 401 329
E 365 82 394 31
E 365 82 420 94
E 367 -74 389 -8
E 367 -74 479 32
E 367 240 382 227
E 367 240 395 279
E 369 368 373 355
E 369 368 405 395
E 371 353 373 355
E 372 447 374 458
E 372 447 407 425
E 373 355 410 337
E 374 458 400 472
E 375 150 383 167
E 375 150 401 121
E 377 559 416 530
E 377 559 439 747
E 379 499 397 499
E 380 186 384 186
E 382 227 395 220
E 383 167 384 186
E 383 167 420 168
E 384 186 396 206
E 389 -8 394 31
E 389 -8 462 58
E 391 284 395 279
E 391 284 401 329
E 394 31 420 94
E 395 220 396 217
E 395 220 440 270
E 395 279 440 270
E 396 206 396 217
E 396 206 427 176
E 396 217 444 210
E 397 499 400 472
E 397 499 416 530
E 400 472 403 470
E 401 329 410 337
E 401 121 415 116
E 403 470 414 457
E 403 470 419 478
E 405 395 415 396
E 407 425 411 417
E 407 425 414 457
E 410 337 411 337
E 411 417 415 396
E 411 417 438 450
E 411 337 417 345
E 411 337 446 271
E 414 457 432 456
E 415 116 419 112
E 415 116 420 168
E 415 396 417 395
E 416 530 439 530
E 417 395 420 358
E 417 395 450 404
E 417 345 420 358
E 417 345 439 338
E 419 478 432 473
E 419 478 461 516
E 419 112 423 98
E 419 112 465 148
E 420 358 464 361
E 420 94 423 98
E 420 168 427 176
E 423 98 464 79
E 427 176 446 180
E 432 473 432 456
E 432 473 465 512
E 432 456 436 454
E 436 454 438 450
E 436 454 458 480
E 438 450 447 442
E 439 747 452 680
E 439 747 459 2525
E 439 338 461 339
E 439 338 473 275
E 439 530 452 680
E 439 530 461 517
E 440 270 446 271
E 444 210 446 186
E 444 210 467 252
E 446 180 446 186
E 446 180 455 170
E 446 271 465 269
E 446 186 494 212
E 447 442 455 422
E 447 442 464 460
E 450 404 455 422
E 450 404 461 398
E 452 680 494 583
E 455 422 476 436
E 455 170 465 148
E 455 170 507 200
E 458 480 464 460
E 458 480 465 512
E 459 2525 2685 100000
E 461 517 461 516
E 461 517 494 583
E 461 339 464 360
E 461 339 488 312
E 461 398 464 361
E 461 398 492 393
E 461 516 465 513
E 462 58 464 79
E 462 58 479 32
E 464 460 479 447
E 464 361 464 360
E 464 360 485 358
E 464 79 467 80
E 465 512 465 513
E 465 269 467 252
E 465 269 473 275
E 465 148 465 148
E 465 148 507 200
E 465 148 481 140
E 465 513 489 506
E 467 252 494 212
E 467 80 489 94
E 467 80 494 55
E 473 275 488 285
E 476 436 479 447
E 476 436 504 419
E 479 32 490 29
E 479 447 499 462
E 481 140 495 121
E 481 140 510 174
E 485 358 495 387
E 485 358 498 334
E 488 285 488 312
E 488 285 511 281
E 488 312 498 334
E 489 506 509 476
E 489 506 518 529
E 489 94 495 121
E 489 94 530 70
E 490 29 492 28
E 490 29 494 55
E 492 393 493 394
E 492 393 495 387
E 492 28 500 33
E 492 28 519 -29
